id,이름,관리종류,검색용,아이콘,세로이미지,가로이미지,영상,html
1,스탠바이미,,스탠바이미,https://img.lgemart.com/9dok/아이콘/스탠바이미.PNG,https://img.lgemart.com/9dok/혜택/스탠바이미.png,https://img.lgemart.com/9dok/혜택2/jpg/스탠바이미.jpg,https://www.youtube.com/embed/1I8MTi5CBHM?si=uEOF1OUvQQ4hrxUf,https://img.lgemart.com/9dok/html/스탠바이미.html
2,TV,,TV,https://img.lgemart.com/9dok/아이콘/TV.PNG,https://img.lgemart.com/9dok/혜택/TV.png,https://img.lgemart.com/9dok/혜택2/jpg/TV.jpg,,https://img.lgemart.com/9dok/html/TV.html
3,PC,,PC,https://img.lgemart.com/9dok/아이콘/PC.PNG,https://img.lgemart.com/9dok/혜택/PC.png,https://img.lgemart.com/9dok/혜택2/jpg/PC.jpg,,https://img.lgemart.com/9dok/html/PC.html
4,정수기,,정수기,https://img.lgemart.com/9dok/아이콘/정수기.PNG,https://img.lgemart.com/9dok/혜택/정수기.png,https://img.lgemart.com/9dok/혜택2/jpg/정수기.jpg,https://www.youtube.com/embed/I8reE3d9Gj8?si=2SUXeEEfS9Z4Ppmb,https://img.lgemart.com/9dok/html/정수기.html
5,디오스냉장고(얼정냉),,얼정냉,https://img.lgemart.com/9dok/아이콘/얼정냉.PNG,https://img.lgemart.com/9dok/혜택/얼정냉.png,https://img.lgemart.com/9dok/혜택2/jpg/얼정냉.jpg,https://www.youtube.com/embed/rpeaHUR4qXw?si=sUQcD57TJ6fT8bdT,https://img.lgemart.com/9dok/html/얼정냉.html
6,디오스냉장고(스템),,스템,https://img.lgemart.com/9dok/아이콘/스템.PNG,https://img.lgemart.com/9dok/혜택/스템.png,https://img.lgemart.com/9dok/혜택2/jpg/스템.jpg,https://www.youtube.com/embed/70jxeabVA-s?si=lUF2Ca6vK1OPKAwA,https://img.lgemart.com/9dok/html/스템.html
7,냉장고,,냉장고,https://img.lgemart.com/9dok/아이콘/냉장고.PNG,https://img.lgemart.com/9dok/혜택/냉장고.png,https://img.lgemart.com/9dok/혜택2/jpg/냉장고.jpg,https://www.youtube.com/embed/ULbCNBPJ4FU?si=jAxEyvPnhL7iSguV,https://img.lgemart.com/9dok/html/냉장고.html
8,김치냉장고,,냉장고,https://img.lgemart.com/9dok/아이콘/김치냉장고.PNG,https://img.lgemart.com/9dok/혜택/김치냉장고.png,https://img.lgemart.com/9dok/혜택2/jpg/김치냉장고.jpg,https://www.youtube.com/embed/ULbCNBPJ4FU?si=jAxEyvPnhL7iSguV,https://img.lgemart.com/9dok/html/김치냉장고.html
9,에어컨,,에어컨,https://img.lgemart.com/9dok/아이콘/에어컨.PNG,https://img.lgemart.com/9dok/혜택/에어컨.png,https://img.lgemart.com/9dok/혜택2/jpg/에어컨.jpg,https://www.youtube.com/embed/q01rdTh0Qww?si=VnIHapZtQGkL8uKv,https://img.lgemart.com/9dok/html/에어컨.html
10,공기청정기,,공기청정기,https://img.lgemart.com/9dok/아이콘/공기청정기.PNG,https://img.lgemart.com/9dok/혜택/공기청정기.png,https://img.lgemart.com/9dok/혜택2/jpg/공기청정기.jpg,https://www.youtube.com/embed/nrQXdCPYsgE?si=-fN6YlITkdfx4-Xm,https://img.lgemart.com/9dok/html/공기청정기.html
11,에어로시리즈,,에어로시리즈,https://img.lgemart.com/9dok/아이콘/에어로시리즈.PNG,https://img.lgemart.com/9dok/혜택/에어로시리즈.png,https://img.lgemart.com/9dok/혜택2/jpg/에어로시리즈.jpg,,https://img.lgemart.com/9dok/html/에어로시리즈.html
12,에어로부스터,,에어로부스터,https://img.lgemart.com/9dok/아이콘/에어로부스터.PNG,,,,https://img.lgemart.com/9dok/html/에어로부스터.html
13,에어로타워,,에어로타워,https://img.lgemart.com/9dok/아이콘/에어로타워.PNG,https://img.lgemart.com/9dok/혜택/에어로타워.png,https://img.lgemart.com/9dok/혜택2/jpg/에어로타워.jpg,,https://img.lgemart.com/9dok/html/에어로타워.html
14,가습기,,가습기,https://img.lgemart.com/9dok/아이콘/가습기.PNG,https://img.lgemart.com/9dok/혜택/가습기.png,https://img.lgemart.com/9dok/혜택2/jpg/가습기.jpg,https://www.youtube.com/embed/55LNVtEx6rY?si=dzceqqPuTYjy1ZQ5,https://img.lgemart.com/9dok/html/가습기.html
15,제습기,,제습기,https://img.lgemart.com/9dok/아이콘/제습기.PNG,https://img.lgemart.com/9dok/혜택/제습기.png,https://img.lgemart.com/9dok/혜택2/jpg/제습기.jpg,https://www.youtube.com/embed/OLF_s7ZLAgA?si=-1eWYxsnGEcfY1ZT,https://img.lgemart.com/9dok/html/제습기.html
