no,모델명,링크,전자랜드,홈플러스,이마트
1,14Z90T-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10521845/gallery/large01.jpg,PC,PC,
2,15U50T-G.AA5VK,https://www.lge.co.kr/kr/images/notebook/md10479835/gallery/large01.jpg,PC,PC,
3,15U50T-G.AR50K,https://www.lge.co.kr/kr/images/notebook/md10479835/gallery/large01.jpg,PC,PC,
4,15Z90T-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10521841/gallery/large01.jpg,PC,PC,
5,16T90SP-K.AA50K,https://www.lge.co.kr/kr/images/notebook/md10287834/gallery/large01.jpg,,,
6,16T90TP-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10521827/gallery/large01.jpg,PC,PC,
7,16T90TP-G.AA70K,https://www.lge.co.kr/kr/images/notebook/md10521827/gallery/large01.jpg,PC,PC,
8,16Z90S-G.AA5DK,https://www.lge.co.kr/kr/images/notebook/md10279831/gallery/large01.jpg,PC,PC,
9,16Z90SP-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10287830/gallery/large01.jpg,,,
10,16Z90TP-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10493826/gallery/large01.jpg,PC,PC,
11,16Z90TP-G.AA5MK,https://www.lge.co.kr/kr/images/notebook/md10521838/gallery/medium01.jpg,PC,PC,
12,16Z90TP-G.AA70K,https://www.lge.co.kr/kr/images/notebook/md10493826/gallery/large01.jpg,PC,PC,
13,16Z90TR-S.AD70K,https://www.lge.co.kr/kr/images/notebook/md10520827/gallery/large01.jpg,PC,PC,
14,16Z90TS-G.AS50K,https://www.lge.co.kr/kr/images/notebook/md10502855/gallery/large01.jpg,PC,PC,
15,17Z90S-G.AA5DK,https://www.lge.co.kr/kr/images/notebook/md10279832/gallery/large01.jpg,PC,PC,
16,17Z90SP-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10287832/gallery/large01.jpg,,,
17,17Z90TP-G.AA50K,https://www.lge.co.kr/kr/images/notebook/md10521852/gallery/large01.jpg,PC,PC,
18,17Z90TP-G.AA5MK,https://www.lge.co.kr/kr/images/notebook/md10521852/gallery/large01.jpg,PC,PC,
19,17Z90TP-G.AA70K,https://www.lge.co.kr/kr/images/notebook/md10521852/gallery/large01.jpg,PC,PC,
20,17Z90TR-S.AD7HK,https://www.lge.co.kr/kr/images/notebook/md10534833/gallery/large01.jpg,PC,PC,
21,27ART10CMPL.AKR,https://www.lge.co.kr/kr/images/tvs/md10357829/gallery/large08.jpg,스탠바이미,스탠바이미,스탠바이미
22,27ART10DKPL.AKR,https://www.lge.co.kr/kr/images/tvs/md08979866/gallery/large14.jpg,,,
23,27ART10DQPL.AKR,https://www.lge.co.kr/kr/images/tvs/md10357828/gallery/large12.jpg,스탠바이미,스탠바이미,스탠바이미
24,27ART10DSPL.AKR,https://www.lge.co.kr/kr/images/tvs/md10357827/gallery/large13.jpg,스탠바이미,스탠바이미,스탠바이미
25,27LX5QKNA.AKR,https://www.lge.co.kr/kr/images/tvs/md10009827/gallery/large13.jpg,스탠바이미,스탠바이미,스탠바이미
26,43UT9300KS.AKRG,https://www.lge.co.kr/kr/images/tvs/md10319873/gallery/medium01.jpg,TV,TV,TV
27,43UT9300KW.AKRG,https://www.lge.co.kr/kr/images/tvs/md10319874/gallery/medium01.jpg,TV,TV,TV
28,50UT9300KS.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314861/gallery/medium01.jpg,TV,TV,TV
29,50UT9300KW.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314862/gallery/medium01.jpg,TV,TV,TV
30,55LX1TKNA.AKR,https://www.lge.co.kr/kr/images/tvs/md10353841/gallery/large16.jpg,TV,TV,TV
31,55LX1TKNAW.AKR,https://www.lge.co.kr/kr/images/tvs/md10353841/gallery/medium16.jpg,TV,TV,TV
32,55UT9300KGB.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314859/gallery/medium01.jpg,TV,TV,TV
33,55UT9300KS.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314859/gallery/medium01.jpg,TV,TV,TV
34,55UT9300KW.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314860/gallery/medium01.jpg,TV,TV,TV
35,65UT9300KGB.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314857/gallery/medium01.jpg,TV,TV,TV
36,65UT9300KS.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314857/gallery/medium01.jpg,TV,TV,TV
37,65UT9300KW.AKRG,https://www.lge.co.kr/kr/images/tvs/md10314858/gallery/medium01.jpg,TV,TV,TV
38,75QNED80TKS.AKRG,https://www.lge.co.kr/kr/images/tvs/md10319855/gallery/medium01.jpg,TV,TV,TV
39,75QNED80TKW.AKRG,https://www.lge.co.kr/kr/images/tvs/md10319856/gallery/medium01.jpg,TV,TV,TV
